timestamp,hum_air,temperature,lumiere
2026-04-23 17:25:49,16.0,34.1,551
2026-04-23 17:25:51,16.0,34.1,551
2026-04-23 17:25:53,16.0,34.1,545
2026-04-23 17:25:55,16.0,34.1,545
2026-04-23 17:25:57,16.0,34.1,536
2026-04-23 17:25:59,16.0,34.1,533
2026-04-23 17:26:01,16.0,34.1,547
2026-04-23 17:26:03,16.0,34.1,532
2026-04-23 17:26:05,17.0,34.1,546
2026-04-23 17:26:07,17.0,34.1,531
2026-04-23 17:26:09,17.0,34.1,545
2026-04-23 17:26:11,17.0,34.1,550
2026-04-23 17:26:13,17.0,34.1,546
2026-04-23 17:26:15,17.0,34.1,549
2026-04-23 17:26:17,17.0,34.1,542
2026-04-23 17:26:19,17.0,34.1,536
2026-04-23 17:26:21,17.0,34.1,529
2026-04-23 17:26:23,17.0,34.1,524
2026-04-23 17:26:25,17.0,34.0,505
2026-04-23 17:26:27,17.0,34.0,522
2026-04-23 17:26:29,18.0,34.0,523
2026-04-23 17:26:31,18.0,34.0,455
2026-04-23 17:26:33,18.0,34.0,538
2026-04-23 17:26:35,18.0,34.0,533
2026-04-23 17:26:37,19.0,34.0,527
2026-04-23 17:26:39,19.0,33.9,545
2026-04-23 17:26:41,19.0,33.9,537
2026-04-23 17:26:43,19.0,33.9,540
2026-04-23 17:26:46,18.0,33.9,554
2026-04-23 17:26:48,18.0,33.9,540
2026-04-23 17:26:50,18.0,33.9,555
2026-04-23 17:26:52,18.0,33.9,548
2026-04-23 17:26:54,17.0,33.9,540
2026-04-23 17:26:56,17.0,33.9,549
2026-04-23 17:26:58,17.0,33.9,554
2026-04-23 17:27:00,17.0,33.9,550
2026-04-23 17:27:02,17.0,33.9,536
2026-04-23 17:27:04,17.0,33.9,544
2026-04-23 17:27:06,17.0,33.9,551
2026-04-23 17:27:08,17.0,33.9,539
2026-04-23 17:27:10,17.0,33.9,552
2026-04-23 17:27:12,17.0,33.9,539
2026-04-23 17:27:14,16.0,33.9,552
2026-04-23 17:27:16,16.0,34.0,532
2026-04-23 17:27:18,16.0,34.0,545
2026-04-23 17:27:20,16.0,34.0,530
2026-04-23 17:27:22,16.0,34.0,535
2026-04-23 17:27:24,16.0,34.0,542
2026-04-23 17:27:26,16.0,34.1,530
2026-04-23 17:27:28,16.0,34.1,513
2026-04-23 17:27:30,16.0,34.1,543
2026-04-23 17:27:32,17.0,34.1,539
2026-04-23 17:27:34,17.0,34.1,530
2026-04-23 17:27:36,17.0,34.1,533
2026-04-23 17:27:38,17.0,34.1,539
2026-04-23 17:27:40,17.0,34.1,524
2026-04-23 17:27:42,17.0,34.1,535
2026-04-23 17:27:44,17.0,34.1,536
2026-04-23 17:27:46,17.0,34.1,538
2026-04-23 17:27:48,16.0,34.1,549
2026-04-23 17:27:51,16.0,34.1,529
2026-04-23 17:27:53,16.0,34.1,546
2026-04-23 17:27:55,16.0,34.1,546
2026-04-23 17:27:57,16.0,34.1,545
2026-04-23 17:27:59,16.0,34.1,544
2026-04-23 17:28:01,16.0,34.1,537
2026-04-23 17:28:03,16.0,34.1,538
2026-04-23 17:28:05,16.0,34.1,539
2026-04-23 17:28:07,16.0,34.1,552
2026-04-23 17:28:09,16.0,34.1,548
2026-04-23 17:28:11,16.0,34.1,534
2026-04-23 17:28:13,16.0,34.1,538
2026-04-23 17:28:15,16.0,34.1,542
2026-04-23 17:28:17,16.0,34.1,532
